Arsenal London(North)
Aston-Villa Birmingham
Brighton Brighton 
Burnley Burnley
Chelsea London(West)
Crystal-Palace London(South)
Everton Liverpool
Leicester Liverpool
Liverpool Liverpool
Manchester-City Manchester
Manchester-United Manchester
Newcastle Newcastle 
West-Brom Birmingham 
Sheffield Sheffield 
Southampton Southampton
Tottenham London(North)
West-Ham London(East)
Wolverhampton Wolverhampton 
Leeds Leeds
Fulham London
